project_county_name,project_state,total_ppp_loans,total_kabbage_loans,percentage_kabbage_loans,state_code,state_name,county_code,county,fips_code
TAYLOR,GA,251,18,7.171314741035857,13,Georgia,269,Taylor County,13269
GILPIN,CO,100,7,7.000000000000001,08,Colorado,047,Gilpin County,08047
LIBERTY,FL,88,6,6.8181818181818175,12,Florida,077,Liberty County,12077
DADE,GA,151,9,5.960264900662252,13,Georgia,083,Dade County,13083
FAYETTE,AL,253,14,5.533596837944664,01,Alabama,057,Fayette County,01057
WASHINGTON,LA,952,52,5.46218487394958,22,Louisiana,117,Washington Parish,22117
ROCKLAND,NY,9201,491,5.336376480817302,36,New York,087,Rockland County,36087
HAMPSHIRE,MA,2915,146,5.008576329331047,25,Massachusetts,015,Hampshire County,25015
SAINT LUCIE,FL,7657,382,4.988899046624004,12,Florida,111,St. Lucie County,12111
CLARION,PA,485,24,4.948453608247423,42,Pennsylvania,031,Clarion County,42031
SUSSEX,NJ,2351,116,4.934070608251808,34,New Jersey,037,Sussex County,34037
HANCOCK,GA,206,10,4.854368932038835,13,Georgia,141,Hancock County,13141
WAYNE,GA,476,23,4.831932773109244,13,Georgia,305,Wayne County,13305
CHARLOTTE,VA,169,8,4.733727810650888,51,Virginia,037,Charlotte County,51037
MARLBORO,SC,339,16,4.71976401179941,45,South Carolina,069,Marlboro County,45069
DE SOTO,FL,473,22,4.651162790697675,NA,NA,NA,NA,NA
HENRY,VA,457,21,4.595185995623632,51,Virginia,089,Henry County,51089
OSCEOLA,FL,11758,527,4.482054771219595,12,Florida,097,Osceola County,12097
JONES,GA,497,22,4.426559356136821,13,Georgia,169,Jones County,13169
POLK,FL,13474,593,4.401068724951759,12,Florida,105,Polk County,12105
SAINT JOHN,VI,206,9,4.368932038834951,NA,NA,NA,NA,NA
TWIGGS,GA,206,9,4.368932038834951,13,Georgia,289,Twiggs County,13289
QUEENS,NY,65635,2775,4.227927173002209,36,New York,081,Queens County,36081
OKEECHOBEE,FL,594,25,4.208754208754209,12,Florida,093,Okeechobee County,12093
KINGS,NY,74450,3132,4.206850235057085,36,New York,047,Kings County,36047
BAKER,FL,240,10,4.166666666666666,12,Florida,003,Baker County,12003
PATRICK,VA,192,8,4.166666666666666,51,Virginia,141,Patrick County,51141
MIAMI-DADE,FL,152811,6341,4.149570384330971,12,Florida,086,Miami-Dade County,12086
WINSTON,AL,364,15,4.1208791208791204,01,Alabama,133,Winston County,01133
PULASKI,GA,267,11,4.119850187265917,13,Georgia,235,Pulaski County,13235
PALM BEACH,FL,59740,2449,4.099430867090727,12,Florida,099,Palm Beach County,12099
HUDSON,NJ,14680,595,4.053133514986376,34,New Jersey,017,Hudson County,34017
OCEAN,NJ,11936,482,4.0382037533512065,34,New Jersey,029,Ocean County,34029
BROWARD,FL,93700,3766,4.019210245464247,12,Florida,011,Broward County,12011
BURKE,GA,627,25,3.9872408293460926,13,Georgia,033,Burke County,13033
ORANGE,FL,54231,2101,3.874167911342221,12,Florida,095,Orange County,12095
ROBERTSON,TN,1046,40,3.824091778202677,47,Tennessee,147,Robertson County,47147
ROCKDALE,GA,5431,207,3.811452771128706,13,Georgia,247,Rockdale County,13247
MANASSAS CITY,VA,1029,39,3.7900874635568513,51,Virginia,683,Manassas city,51683
JIM HOGG,TX,53,2,3.7735849056603774,48,Texas,247,Jim Hogg County,48247
HAMBLEN,TN,750,28,3.733333333333334,47,Tennessee,063,Hamblen County,47063
FAYETTE,GA,4155,155,3.730445246690734,13,Georgia,113,Fayette County,13113
HILLSBOROUGH,FL,45524,1684,3.699147702310869,12,Florida,057,Hillsborough County,12057
FLORENCE,SC,3654,134,3.6672140120415984,45,South Carolina,041,Florence County,45041
DOOLY,GA,467,17,3.640256959314775,13,Georgia,093,Dooly County,13093
HENRY,GA,12076,439,3.635309705200397,13,Georgia,151,Henry County,13151
HIGHLANDS,FL,1668,60,3.5971223021582732,12,Florida,055,Highlands County,12055
BALDWIN,GA,1214,43,3.5420098846787478,13,Georgia,009,Baldwin County,13009
WAUPACA,WI,1158,41,3.540587219343696,55,Wisconsin,135,Waupaca County,55135
BRUNSWICK,VA,226,8,3.5398230088495577,51,Virginia,025,Brunswick County,51025
CAMDEN,GA,623,22,3.5313001605136436,13,Georgia,039,Camden County,13039
BOULDER,CO,10200,360,3.5294117647058822,08,Colorado,013,Boulder County,08013
MONROE,AL,568,20,3.5211267605633805,01,Alabama,099,Monroe County,01099
PUTNAM,GA,601,21,3.494176372712146,13,Georgia,237,Putnam County,13237
BERKELEY,SC,3955,138,3.4892541087231352,45,South Carolina,015,Berkeley County,45015
COBB,GA,30041,1029,3.4253187310675415,13,Georgia,067,Cobb County,13067
DEKALB,GA,41956,1428,3.403565640194489,13,Georgia,089,DeKalb County,13089
INDIAN RIVER,FL,3478,118,3.392754456584244,12,Florida,061,Indian River County,12061
